,BLOCK,DATE,TIME,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,AC_POWER,DC_POWER
224,34,2020-05-17,08:15,29.2123748,43.30446356666668,0.4617634923333333,13.104736666666666,13.375270476190476
225,35,2020-05-17,08:30,29.68912768965517,44.71320524137932,0.5120760037931033,14.29538666666667,14.594586666666666
226,36,2020-05-17,08:45,29.98807683333333,45.068606466666665,0.470911494,13.655562380952384,13.939560952380955
227,37,2020-05-17,09:00,30.047706344827592,44.35975200000001,0.5358374679310345,15.53341285714286,15.864659523809525
228,38,2020-05-17,09:15,30.70545853333333,48.360558,0.7126864326666665,19.986915238095236,20.43413190476191
229,39,2020-05-17,09:30,31.6398318,51.3436818,0.6903431299999999,16.923108095238096,17.30071285714286
230,40,2020-05-17,09:45,31.79815365517241,50.57241631034481,0.7143508155172414,17.32748,17.717393333333334
231,41,2020-05-17,10:00,32.372193566666674,52.08409933333333,0.6756343696666666,15.616679047619046,15.965435714285713
232,42,2020-05-17,10:15,32.30568233333333,49.34352216666668,0.5722676586666666,13.140551904761907,13.423970476190476
233,43,2020-05-17,10:30,32.44208482758621,48.37232193103448,0.6707603986206897,16.912128571428575,17.28950761904762
234,44,2020-05-17,10:45,32.98318686666667,50.800837966666656,0.7487384033333335,16.41139666666667,16.788320952380953
235,45,2020-05-17,11:00,33.59000886206896,51.39774210344827,0.744102428275862,14.787346666666666,15.127646666666667
236,46,2020-05-17,11:15,33.80211653333333,51.108978366666655,0.681933306,13.496586666666667,13.797642380952379
237,47,2020-05-17,11:30,33.97323479310345,47.9988477586207,0.4981052958620688,11.845550476190475,12.09534
238,48,2020-05-17,11:45,33.6794626,44.84200643333333,0.4553650786666666,13.97618238095238,14.267708571428573
239,49,2020-05-17,12:00,33.770686966666666,46.61196483333334,0.5253698983333334,16.08506380952381,16.429016190476187
240,50,2020-05-17,12:15,34.136448310344825,48.85399431034482,0.5782548813793102,17.576473333333333,17.95874
241,51,2020-05-17,12:30,34.32172226666668,50.20386160000001,0.6100332046666667,18.27028619047619,18.671429523809522
242,52,2020-05-17,12:45,34.64678210344827,51.27062162068966,0.7156156220689655,18.082356666666662,18.492442380952387
243,53,2020-05-17,13:00,35.0309509,53.76064456666667,0.754738481,18.087148095238092,18.502626666666668
244,54,2020-05-17,13:15,35.52410268965517,56.54186906896551,0.7998285427586208,14.492764285714284,14.833030476190475
245,55,2020-05-17,13:30,36.10341906666667,59.100529966666656,0.6887480663333334,9.615733333333333,9.830653333333334
246,56,2020-05-17,13:45,36.21466379310345,55.30187886206895,0.7612834286206895,17.538796666666663,17.95121095238095
247,57,2020-05-17,14:00,36.4980315,54.589568,0.7789892303333334,15.78877238095238,16.154867142857142
248,58,2020-05-17,14:15,36.60296943333335,52.846333866666654,0.732283932,16.807926666666663,17.191741904761905
249,59,2020-05-17,14:30,36.83124206896552,51.13231051724138,0.5855804424137931,14.498411428571428,14.813366666666665
250,60,2020-05-17,14:45,36.53318553333334,49.36536973333334,0.492684559,14.22436,14.521960000000002
251,61,2020-05-17,15:00,36.10952948275863,45.67703886206896,0.3013766968965517,9.21836142857143,9.389083809523811
252,62,2020-05-17,15:15,35.419343399999995,40.62791256666667,0.2451468573333333,7.849193333333334,7.986613333333334
253,63,2020-05-17,15:30,35.6123197,40.969849633333325,0.283091291,9.132170476190474,9.297790476190476
254,64,2020-05-17,15:45,35.5120261724138,41.27848017241379,0.2785615713793103,8.906853333333332,9.0665
255,65,2020-05-17,16:00,35.33530586666666,40.34242463333332,0.2795773376666665,8.95080380952381,9.112459523809525
256,66,2020-05-17,16:15,35.821209925925935,42.76871762962963,0.4279635396296296,13.719603296703298,14.004575824175824
257,67,2020-05-17,16:30,36.07769153333333,44.569872033333326,0.4045281216666666,12.855625714285715,13.119662380952379
258,68,2020-05-17,16:45,36.44374493333334,43.57221573333334,0.3040243293333332,9.753742380952382,9.941612380952382
259,69,2020-05-17,17:00,35.507159172413786,38.92884879310344,0.093825594,2.887753333333334,2.9605999999999995
260,70,2020-05-17,17:15,35.09537646666667,36.100673466666656,0.1124340208999999,3.406626666666667,3.4842995238095242
261,71,2020-05-17,17:30,35.30165672413793,37.281979379310336,0.157049409137931,4.857433333333333,4.954152857142856
262,72,2020-05-17,17:45,35.0653644,36.49970813333333,0.0815178720666666,2.488805238095238,2.556239523809524
263,73,2020-05-17,18:00,34.57465116666667,35.23109946666666,0.0685123559666666,2.189615714285714,2.2533366666666668
264,74,2020-05-17,18:15,34.26270155172412,33.82328855172414,0.0252637653448275,0.81802,0.84596
265,75,2020-05-17,18:30,33.82243973333334,31.868562866666664,0.0048542384033333,0.15156857142857144,0.15709857142857142
266,76,2020-05-17,18:45,32.505662655172415,30.871878793103445,0.0,0.0,0.0
267,77,2020-05-17,19:00,31.5056082,30.328579666666656,0.0,0.0,0.0
268,78,2020-05-17,19:15,31.155717000000003,29.985616,0.0,0.0,0.0
269,79,2020-05-17,19:30,30.802734275862075,29.77499903448276,0.0,0.0,0.0
270,80,2020-05-17,19:45,30.547670433333337,29.623739566666664,0.0,0.0,0.0
271,81,2020-05-17,20:00,30.300568827586208,29.35396499999999,0.0,0.0,0.0
272,82,2020-05-17,20:15,29.811618933333328,29.0146261,0.0,0.0,0.0
273,83,2020-05-17,20:30,29.1945903,28.482287666666664,0.0,0.0,0.0
274,84,2020-05-17,20:45,28.808170689655167,28.060144827586203,0.0,0.0,0.0
275,85,2020-05-17,21:00,28.49680176666666,27.806913200000004,0.0,0.0,0.0
276,86,2020-05-17,21:15,28.22123368965517,27.64579282758621,0.0,0.0,0.0
277,87,2020-05-17,21:30,27.908858133333336,27.563309933333333,0.0,0.0,0.0
278,88,2020-05-17,21:45,27.756202166666665,27.456904133333328,0.0,0.0,0.0
279,89,2020-05-17,22:00,26.50748420689656,25.221006344827583,0.0,0.0,0.0
280,90,2020-05-17,22:15,26.322783466666664,24.444667433333333,0.0016489731516666,0.0,0.0
281,91,2020-05-17,22:30,26.622738586206893,24.97724548275861,0.0019374660551724,0.0,0.0
